,State,Area_name,Latitude,Longitude
575,ID,Gooding,+42.973185°,–114.821420°
576,ID,Idaho,+45.849237°,–115.467376°
577,ID,Jefferson,+43.796965°,–112.318588°
578,ID,Jerome,+42.691172°,–114.263009°
579,ID,Kootenai,+47.677113°,–116.694918°
580,ID,Latah,+46.818920°,–116.730974°
581,ID,Lemhi,+44.928789°,–113.887841°
582,ID,Lewis,+46.236328°,–116.423760°
583,ID,Lincoln,+42.986181°,–114.153899°
584,ID,Madison,+43.789709°,–111.656550°
585,ID,Minidoka,+42.856937°,–113.640010°
586,ID,Nez Perce,+46.333766°,–116.760903°
587,ID,Oneida,+42.183890°,–112.520465°
588,ID,Owyhee,+42.593063°,–116.142655°
589,ID,Payette,+44.002740°,–116.748655°
590,ID,Power,+42.694126°,–112.844407°
591,ID,Shoshone,+47.347694°,–115.885092°
592,ID,Teton,+43.760994°,–111.211765°
593,ID,Twin Falls,+42.352309°,–114.665639°
594,ID,Valley,+44.771532°,–115.637875°
595,ID,Washington,+44.448213°,–116.797830°
596,IL,Adams,+39.986053°,–91.194961°
597,IL,Alexander,+37.183683°,–89.349506°
598,IL,Bond,+38.885924°,–89.436592°
599,IL,Boone,+42.318983°,–88.824295°
600,IL,Brown,+39.962069°,–90.750310°
601,IL,Bureau,+41.401304°,–89.528377°
602,IL,Calhoun,+39.164262°,–90.666295°
603,IL,Carroll,+42.059084°,–89.926485°
604,IL,Cass,+39.969202°,–90.245705°
605,IL,Champaign,+40.139150°,–88.197201°
606,IL,Christian,+39.545524°,–89.279593°
607,IL,Clark,+39.332364°,–87.791687°
608,IL,Clay,+38.747312°,–88.483789°
609,IL,Clinton,+38.606423°,–89.423136°
610,IL,Coles,+39.513680°,–88.220782°
611,IL,Cook,+41.894294°,–87.645455°
612,IL,Crawford,+39.003730°,–87.757172°
613,IL,Cumberland,+39.273121°,–88.240619°
614,IL,DeKalb,+41.894613°,–88.768991°
615,IL,De Witt,+40.181499°,–88.901853°
616,IL,Douglas,+39.766078°,–88.222866°
617,IL,DuPage,+41.852058°,–88.086038°
618,IL,Edgar,+39.679037°,–87.747110°
619,IL,Edwards,+38.417095°,–88.047941°
620,IL,Effingham,+39.047694°,–88.592786°
621,IL,Fayette,+39.001125°,–89.017923°
622,IL,Ford,+40.594423°,–88.224746°
623,IL,Franklin,+37.991848°,–88.926246°
624,IL,Fulton,+40.465688°,–90.206793°
625,IL,Gallatin,+37.768677°,–88.227964°
626,IL,Greene,+39.355444°,–90.387757°
627,IL,Grundy,+41.292410°,–88.401055°
628,IL,Hamilton,+38.085226°,–88.539005°
629,IL,Hancock,+40.405792°,–91.167988°
630,IL,Hardin,+37.517852°,–88.266148°
631,IL,Henderson,+40.815141°,–90.938480°
632,IL,Henry,+41.350021°,–90.130838°
633,IL,Iroquois,+40.748867°,–87.833601°
634,IL,Jackson,+37.786096°,–89.381212°
635,IL,Jasper,+39.004874°,–88.150763°
636,IL,Jefferson,+38.300780°,–88.924210°
637,IL,Jersey,+39.080192°,–90.361365°
638,IL,Jo Daviess,+42.362391°,–90.211471°
639,IL,Johnson,+37.460815°,–88.882962°
640,IL,Kane,+41.939594°,–88.428040°
641,IL,Kankakee,+41.139494°,–87.861125°
642,IL,Kendall,+41.588140°,–88.430626°
643,IL,Knox,+40.930941°,–90.213761°
644,IL,Lake,+42.326444°,–87.436118°
645,IL,La Salle,+41.343341°,–88.885931°
646,IL,Lawrence,+38.718954°,–87.730221°
647,IL,Lee,+41.747442°,–89.299351°
648,IL,Livingston,+40.894376°,–88.552852°
649,IL,Logan,+40.129070°,–89.365308°
650,IL,McDonough,+40.455789°,–90.677579°
651,IL,McHenry,+42.324298°,–88.452245°
652,IL,McLean,+40.494559°,–88.844539°
653,IL,Macon,+39.860237°,–88.961529°
654,IL,Macoupin,+39.265900°,–89.926344°
655,IL,Madison,+38.827082°,–89.900195°
656,IL,Marion,+38.648396°,–88.920221°
657,IL,Marshall,+41.031119°,–89.342371°
658,IL,Mason,+40.236993°,–89.913575°
659,IL,Massac,+37.216119°,–88.705658°
660,IL,Menard,+40.022569°,–89.794133°
661,IL,Mercer,+41.204791°,–90.741433°
662,IL,Monroe,+38.277983°,–90.179078°
663,IL,Montgomery,+39.228092°,–89.478007°
664,IL,Morgan,+39.716806°,–90.202277°
665,IL,Moultrie,+39.636896°,–88.625726°
666,IL,Ogle,+42.041884°,–89.320176°
667,IL,Peoria,+40.785999°,–89.767358°
668,IL,Perry,+38.084385°,–89.368487°
669,IL,Piatt,+40.009056°,–88.592328°
670,IL,Pike,+39.625106°,–90.889034°
671,IL,Pope,+37.417169°,–88.542374°
672,IL,Pulaski,+37.215615°,–89.127755°
673,IL,Putnam,+41.198940°,–89.298386°
674,IL,Randolph,+38.056515°,–89.821210°
675,IL,Richland,+38.711550°,–88.085698°
676,IL,Rock Island,+41.468404°,–90.572203°
677,IL,St. Clair,+38.470198°,–89.928546°
678,IL,Saline,+37.751653°,–88.545031°
679,IL,Sangamon,+39.756378°,–89.662311°
680,IL,Schuyler,+40.156905°,–90.613464°
681,IL,Scott,+39.636980°,–90.477759°
682,IL,Shelby,+39.384926°,–88.798862°
683,IL,Stark,+41.096908°,–89.797411°
684,IL,Stephenson,+42.349726°,–89.665994°
685,IL,Tazewell,+40.508074°,–89.516260°
686,IL,Union,+37.475104°,–89.252875°
687,IL,Vermilion,+40.186740°,–87.726772°
688,IL,Wabash,+38.445821°,–87.839167°
689,IL,Warren,+40.850441°,–90.620223°
690,IL,Washington,+38.353141°,–89.417187°
691,IL,Wayne,+38.431948°,–88.432129°
692,IL,White,+38.087372°,–88.178585°
693,IL,Whiteside,+41.750571°,–89.910957°
694,IL,Will,+41.448474°,–87.978456°
695,IL,Williamson,+37.730353°,–88.930018°
696,IL,Winnebago,+42.337396°,–89.161205°
697,IL,Woodford,+40.789596°,–89.210301°
698,IN,Adams,+40.745733°,–84.936131°
699,IN,Allen,+41.091855°,–85.072230°
700,IN,Bartholomew,+39.205843°,–85.897999°
701,IN,Benton,+40.608253°,–87.315479°
702,IN,Blackford,+40.472672°,–85.323730°
703,IN,Boone,+40.050892°,–86.469014°
704,IN,Brown,+39.192585°,–86.239410°
705,IN,Carroll,+40.584980°,–86.565141°
706,IN,Cass,+40.753799°,–86.355169°
707,IN,Clark,+38.476217°,–85.711122°
708,IN,Clay,+39.393951°,–87.115837°
709,IN,Clinton,+40.305944°,–86.477567°
710,IN,Crawford,+38.289433°,–86.440871°
711,IN,Daviess,+38.696155°,–87.076988°
712,IN,Dearborn,+39.151491°,–84.973460°
713,IN,Decatur,+39.305980°,–85.499831°
714,IN,DeKalb,+41.401189°,–85.000185°
715,IN,Delaware,+40.227165°,–85.398856°
716,IN,Dubois,+38.373344°,–86.873385°
717,IN,Elkhart,+41.600693°,–85.863986°
718,IN,Fayette,+39.639655°,–85.185032°
719,IN,Floyd,+38.317937°,–85.911474°
720,IN,Fountain,+40.121282°,–87.234806°
721,IN,Franklin,+39.409762°,–85.066964°
722,IN,Fulton,+41.050384°,–86.265006°
723,IN,Gibson,+38.317413°,–87.580566°
724,IN,Grant,+40.515758°,–85.654946°
725,IN,Greene,+39.048600°,–87.005245°
726,IN,Hamilton,+40.049870°,–86.020586°
727,IN,Hancock,+39.822604°,–85.772904°
728,IN,Harrison,+38.186440°,–86.103681°
729,IN,Hendricks,+39.768749°,–86.510287°
730,IN,Henry,+39.929576°,–85.397338°
731,IN,Howard,+40.483537°,–86.114118°
732,IN,Huntington,+40.826394°,–85.478598°
733,IN,Jackson,+38.911957°,–86.042516°
734,IN,Jasper,+41.017688°,–87.118814°
735,IN,Jay,+40.434972°,–85.003380°
736,IN,Jefferson,+38.783604°,–85.440090°
737,IN,Jennings,+38.996234°,–85.628111°
738,IN,Johnson,+39.495986°,–86.094600°
739,IN,Knox,+38.688663°,–87.420182°
740,IN,Kosciusko,+41.244293°,–85.861575°
741,IN,LaGrange,+41.642468°,–85.426302°
742,IN,Lake,+41.472239°,–87.374337°
743,IN,LaPorte,+41.549011°,–86.744729°
744,IN,Lawrence,+38.839815°,–86.487820°
745,IN,Madison,+40.166203°,–85.722454°
746,IN,Marion,+39.782976°,–86.135794°
747,IN,Marshall,+41.325003°,–86.269036°
748,IN,Martin,+38.705322°,–86.801847°
749,IN,Miami,+40.772881°,–86.044259°
750,IN,Monroe,+39.160751°,–86.523325°
751,IN,Montgomery,+40.040296°,–86.892715°
752,IN,Morgan,+39.482646°,–86.447457°
753,IN,Newton,+40.962399°,–87.402172°
754,IN,Noble,+41.400794°,–85.417850°
755,IN,Ohio,+38.940527°,–84.964299°
756,IN,Orange,+38.547381°,–86.489257°
757,IN,Owen,+39.317339°,–86.838845°
758,IN,Parke,+39.774250°,–87.196950°
759,IN,Perry,+38.081436°,–86.626540°
760,IN,Pike,+38.397898°,–87.232532°
761,IN,Porter,+41.509922°,–87.071308°
762,IN,Posey,+38.027614°,–87.868653°
763,IN,Pulaski,+41.045272°,–86.692538°
764,IN,Putnam,+39.665545°,–86.853325°
765,IN,Randolph,+40.164414°,–85.005004°
766,IN,Ripley,+39.100230°,–85.260541°
767,IN,Rush,+39.622312°,–85.466527°
768,IN,St. Joseph,+41.617699°,–86.288159°
769,IN,Scott,+38.679431°,–85.751898°
770,IN,Shelby,+39.524135°,–85.792174°
771,IN,Spencer,+38.009789°,–87.010645°
772,IN,Starke,+41.283220°,–86.647570°
773,IN,Steuben,+41.643437°,–85.002467°
774,IN,Sullivan,+39.089225°,–87.415843°
775,IN,Switzerland,+38.825846°,–85.029679°
776,IN,Tippecanoe,+40.389260°,–86.893943°
777,IN,Tipton,+40.310229°,–86.056207°
778,IN,Union,+39.623111°,–84.925152°
779,IN,Vanderburgh,+38.020070°,–87.586166°
780,IN,Vermillion,+39.854045°,–87.462071°
781,IN,Vigo,+39.429143°,–87.390375°
782,IN,Wabash,+40.843717°,–85.795175°
783,IN,Warren,+40.352658°,–87.375847°
784,IN,Warrick,+38.097764°,–87.272023°
785,IN,Washington,+38.600613°,–86.104751°
786,IN,Wayne,+39.863091°,–85.006735°
787,IN,Wells,+40.735273°,–85.212974°
788,IN,White,+40.750950°,–86.864293°
789,IN,Whitley,+41.136426°,–85.501892°
790,IA,Adair,+41.328528°,–94.478164°
791,IA,Adams,+41.021656°,–94.696906°
792,IA,Allamakee,+43.274964°,–91.382751°
793,IA,Appanoose,+40.744683°,–92.870345°
794,IA,Audubon,+41.679178°,–94.904312°
795,IA,Benton,+42.092547°,–92.057630°
796,IA,Black Hawk,+42.472888°,–92.306059°
797,IA,Boone,+42.038601°,–93.939138°
798,IA,Bremer,+42.780890°,–92.327586°
799,IA,Buchanan,+42.470328°,–91.838666°
800,IA,Buena Vista,+42.741522°,–95.141433°
801,IA,Butler,+42.734708°,–92.780066°
802,IA,Calhoun,+42.386170°,–94.643683°
803,IA,Carroll,+42.039492°,–94.867647°
804,IA,Cass,+41.333824°,–94.933302°
805,IA,Cedar,+41.772355°,–91.132190°
806,IA,Cerro Gordo,+43.075171°,–93.251266°
807,IA,Cherokee,+42.742738°,–95.633262°
808,IA,Chickasaw,+43.059741°,–92.317210°
809,IA,Clarke,+41.029191°,–93.784096°
810,IA,Clay,+43.079822°,–95.149726°
811,IA,Clayton,+42.840998°,–91.323511°
812,IA,Clinton,+41.898073°,–90.534243°
813,IA,Crawford,+42.043119°,–95.389090°
814,IA,Dallas,+41.685321°,–94.040707°
815,IA,Davis,+40.748089°,–92.410345°
816,IA,Decatur,+40.736379°,–93.784580°
817,IA,Delaware,+42.473003°,–91.359443°
818,IA,Des Moines,+40.915339°,–91.186925°
819,IA,Dickinson,+43.389611°,–95.196057°
820,IA,Dubuque,+42.463481°,–90.878771°
821,IA,Emmet,+43.377984°,–94.669370°
822,IA,Fayette,+42.864450°,–91.839373°
823,IA,Floyd,+43.052741°,–92.787367°
824,IA,Franklin,+42.736549°,–93.271425°
825,IA,Fremont,+40.743726°,–95.599516°
826,IA,Greene,+42.042494°,–94.388703°
827,IA,Grundy,+42.403323°,–92.790261°
828,IA,Guthrie,+41.683573°,–94.501272°
829,IA,Hamilton,+42.390768°,–93.709198°
830,IA,Hancock,+43.075411°,–93.743697°
831,IA,Hardin,+42.389955°,–93.241081°
832,IA,Harrison,+41.688584°,–95.827149°
833,IA,Henry,+40.985864°,–91.544270°
834,IA,Howard,+43.365313°,–92.321908°
835,IA,Humboldt,+42.782221°,–94.202775°
836,IA,Ida,+42.391860°,–95.507421°
837,IA,Iowa,+41.683918°,–92.059123°
838,IA,Jackson,+42.164281°,–90.574597°
839,IA,Jasper,+41.685686°,–93.052971°
840,IA,Jefferson,+41.006880°,–91.967137°
841,IA,Johnson,+41.668737°,–91.588812°
842,IA,Jones,+42.125118°,–91.116914°
843,IA,Keokuk,+41.331182°,–92.167721°
844,IA,Kossuth,+43.212478°,–94.213983°
845,IA,Lee,+40.647588°,–91.477157°
846,IA,Linn,+42.077951°,–91.597674°
847,IA,Louisa,+41.218211°,–91.256994°
848,IA,Lucas,+41.033344°,–93.331467°
849,IA,Lyon,+43.383580°,–96.207201°
850,IA,Madison,+41.330622°,–94.015184°
851,IA,Mahaska,+41.330797°,–92.636366°
852,IA,Marion,+41.331455°,–93.093849°
853,IA,Marshall,+42.041691°,–92.981452°
854,IA,Mills,+41.033703°,–95.619101°
855,IA,Mitchell,+43.348564°,–92.784466°
856,IA,Monona,+42.049432°,–95.956566°
857,IA,Monroe,+41.028847°,–92.869642°
858,IA,Montgomery,+41.021735°,–95.157790°
859,IA,Muscatine,+41.483776°,–91.118699°
860,IA,O'Brien,+43.083746°,–95.625624°
861,IA,Osceola,+43.378542°,–95.633788°
862,IA,Page,+40.739090°,–95.144290°
863,IA,Palo Alto,+43.075854°,–94.667297°
864,IA,Plymouth,+42.737585°,–96.215864°
865,IA,Pocahontas,+42.734033°,–94.678279°
866,IA,Polk,+41.684281°,–93.569720°
867,IA,Pottawattamie,+41.340184°,–95.544905°
868,IA,Poweshiek,+41.684526°,–92.522882°
869,IA,Ringgold,+40.735334°,–94.244251°
870,IA,Sac,+42.387526°,–95.105224°
871,IA,Scott,+41.641679°,–90.622290°
872,IA,Shelby,+41.679014°,–95.308917°
873,IA,Sioux,+43.082854°,–96.177929°
874,IA,Story,+42.037538°,–93.466093°
875,IA,Tama,+42.074848°,–92.529412°
876,IA,Taylor,+40.737949°,–94.697108°
877,IA,Union,+41.028550°,–94.245091°
878,IA,Van Buren,+40.754117°,–91.952943°
879,IA,Wapello,+41.031263°,–92.409482°
880,IA,Warren,+41.336769°,–93.564366°
881,IA,Washington,+41.329401°,–91.725052°
882,IA,Wayne,+40.739983°,–93.332613°
883,IA,Webster,+42.434397°,–94.179157°
884,IA,Winnebago,+43.378124°,–93.743488°
885,IA,Winneshiek,+43.292989°,–91.850788°
886,IA,Woodbury,+42.393220°,–96.053296°
887,IA,Worth,+43.373491°,–93.248533°
888,IA,Wright,+42.733007°,–93.734735°
889,KS,Allen,+37.884229°,–95.300945°
890,KS,Anderson,+38.215114°,–95.292046°
891,KS,Atchison,+39.532544°,–95.313398°
892,KS,Barber,+37.222906°,–98.685052°
893,KS,Barton,+38.481239°,–98.767837°
894,KS,Bourbon,+37.856100°,–94.850928°
895,KS,Brown,+39.825931°,–95.569905°
896,KS,Butler,+37.773681°,–96.838762°
897,KS,Chase,+38.298553°,–96.594064°
898,KS,Chautauqua,+37.154259°,–96.245396°
899,KS,Cherokee,+37.169392°,–94.845698°
900,KS,Cheyenne,+39.789256°,–101.727302°
901,KS,Clark,+37.233831°,–99.813869°
902,KS,Clay,+39.344964°,–97.168853°
903,KS,Cloud,+39.487329°,–97.641390°
904,KS,Coffey,+38.236450°,–95.729137°
905,KS,Comanche,+37.189071°,–99.254089°
906,KS,Cowley,+37.234507°,–96.837247°
907,KS,Crawford,+37.505628°,–94.853941°
908,KS,Decatur,+39.783542°,–100.459708°
909,KS,Dickinson,+38.867735°,–97.157943°
910,KS,Doniphan,+39.788502°,–95.147225°
911,KS,Douglas,+38.896573°,–95.290529°
912,KS,Edwards,+37.883595°,–99.304746°
913,KS,Elk,+37.456026°,–96.244642°
914,KS,Ellis,+38.914596°,–99.317329°
915,KS,Ellsworth,+38.700845°,–98.205355°
916,KS,Finney,+38.049855°,–100.739929°
917,KS,Ford,+37.688365°,–99.884734°
918,KS,Franklin,+38.558019°,–95.278962°
919,KS,Geary,+39.002155°,–96.768038°
920,KS,Gove,+38.917239°,–100.487360°
921,KS,Graham,+39.349445°,–99.880952°
922,KS,Grant,+37.547537°,–101.299362°
923,KS,Gray,+37.744513°,–100.451716°
924,KS,Greeley,+38.480408°,–101.805984°
925,KS,Greenwood,+37.878659°,–96.242232°
926,KS,Hamilton,+37.995244°,–101.793689°
927,KS,Harper,+37.188184°,–98.066590°
928,KS,Harvey,+38.050144°,–97.436707°
929,KS,Haskell,+37.558550°,–100.876869°
930,KS,Hodgeman,+38.087493°,–99.898407°
931,KS,Jackson,+39.410989°,–95.794509°
932,KS,Jefferson,+39.239644°,–95.375314°
933,KS,Jewell,+39.777010°,–98.222584°
934,KS,Johnson,+38.883907°,–94.822330°
935,KS,Kearny,+37.994461°,–101.308136°
936,KS,Kingman,+37.552951°,–98.144529°
937,KS,Kiowa,+37.561231°,–99.286539°
938,KS,Labette,+37.191468°,–95.297473°
939,KS,Lane,+38.481286°,–100.466185°
940,KS,Leavenworth,+39.189511°,–95.038977°
941,KS,Lincoln,+39.047276°,–98.214265°
942,KS,Linn,+38.216549°,–94.844932°
943,KS,Logan,+38.913270°,–101.157407°
944,KS,Lyon,+38.455498°,–96.161589°
945,KS,McPherson,+38.395812°,–97.647489°
946,KS,Marion,+38.359647°,–97.102771°
947,KS,Marshall,+39.782709°,–96.521243°
948,KS,Meade,+37.243886°,–100.360094°
949,KS,Miami,+38.566772°,–94.832963°
950,KS,Mitchell,+39.393026°,–98.207362°
951,KS,Montgomery,+37.189537°,–95.742403°
952,KS,Morris,+38.687696°,–96.644905°
953,KS,Morton,+37.185250°,–101.809516°
954,KS,Nemaha,+39.791043°,–96.005381°
955,KS,Neosho,+37.564283°,–95.315683°
956,KS,Ness,+38.480437°,–99.908745°
957,KS,Norton,+39.783867°,–99.899235°
958,KS,Osage,+38.649706°,–95.727275°
959,KS,Osborne,+39.348649°,–98.767876°
960,KS,Ottawa,+39.137963°,–97.654803°
961,KS,Pawnee,+38.182873°,–99.232154°
962,KS,Phillips,+39.784506°,–99.342150°
963,KS,Pottawatomie,+39.382187°,–96.337113°
964,KS,Pratt,+37.647594°,–98.740120°
965,KS,Rawlins,+39.786198°,–101.076738°
966,KS,Reno,+37.948185°,–98.078346°
967,KS,Republic,+39.828910°,–97.650921°
968,KS,Rice,+38.347178°,–98.201415°
969,KS,Riley,+39.291211°,–96.727489°
970,KS,Rooks,+39.346006°,–99.324492°
971,KS,Rush,+38.523592°,–99.309183°
972,KS,Russell,+38.916839°,–98.765638°
973,KS,Saline,+38.786327°,–97.650153°
974,KS,Scott,+38.481877°,–100.906360°
975,KS,Sedgwick,+37.683807°,–97.459451°
976,KS,Seward,+37.180585°,–100.854741°
977,KS,Shawnee,+39.041805°,–95.755664°
978,KS,Sheridan,+39.350543°,–100.441206°
979,KS,Sherman,+39.351352°,–101.719859°
980,KS,Smith,+39.784660°,–98.785430°
981,KS,Stafford,+38.035630°,–98.719889°
982,KS,Stanton,+37.565932°,–101.789383°
983,KS,Stevens,+37.202356°,–101.315796°
984,KS,Sumner,+37.236663°,–97.493349°
985,KS,Thomas,+39.357706°,–101.083439°
986,KS,Trego,+38.921302°,–99.865423°
987,KS,Wabaunsee,+38.955154°,–96.201262°
988,KS,Wallace,+38.926626°,–101.771103°
989,KS,Washington,+39.776714°,–97.095611°
990,KS,Wichita,+38.481922°,–101.347434°
991,KS,Wilson,+37.558515°,–95.745175°
992,KS,Woodson,+37.888484°,–95.757553°
993,KS,Wyandotte,+39.115384°,–94.763087°
994,KY,Adair,+37.105541°,–85.281401°
995,KY,Allen,+36.750770°,–86.192458°
996,KY,Anderson,+38.005396°,–84.986417°
997,KY,Ballard,+37.051120°,–89.009178°
998,KY,Barren,+36.963614°,–85.924990°
999,KY,Bath,+38.152249°,–83.737641°
1000,KY,Bell,+36.722680°,–83.681046°
1001,KY,Boone,+38.974595°,–84.731444°
1002,KY,Bourbon,+38.202562°,–84.209860°
1003,KY,Boyd,+38.360004°,–82.681406°
1004,KY,Boyle,+37.618200°,–84.873016°
1005,KY,Bracken,+38.678523°,–84.100355°
1006,KY,Breathitt,+37.521178°,–83.322401°
1007,KY,Breckinridge,+37.778109°,–86.432829°
1008,KY,Bullitt,+37.969572°,–85.703036°
1009,KY,Butler,+37.207013°,–86.682471°
1010,KY,Caldwell,+37.148643°,–87.870510°
1011,KY,Calloway,+36.620978°,–88.274086°
1012,KY,Campbell,+38.946981°,–84.379583°
1013,KY,Carlisle,+36.857726°,–88.975757°
1014,KY,Carroll,+38.668284°,–85.124083°
1015,KY,Carter,+38.309555°,–83.048821°
1016,KY,Casey,+37.321962°,–84.928220°
1017,KY,Christian,+36.893388°,–87.493554°
1018,KY,Clark,+37.970133°,–84.144974°
1019,KY,Clay,+37.164466°,–83.710763°
1020,KY,Clinton,+36.729124°,–85.153499°
1021,KY,Crittenden,+37.358149°,–88.105010°
1022,KY,Cumberland,+36.784227°,–85.393499°
1023,KY,Daviess,+37.731671°,–87.087139°
1024,KY,Edmonson,+37.227856°,–86.217778°
1025,KY,Elliott,+38.116425°,–83.097541°
1026,KY,Estill,+37.692460°,–83.963927°
1027,KY,Fayette,+38.040157°,–84.458443°
1028,KY,Fleming,+38.368431°,–83.706152°
1029,KY,Floyd,+37.558283°,–82.740337°
1030,KY,Franklin,+38.234919°,–84.868786°
1031,KY,Fulton,+36.552620°,–89.187723°
1032,KY,Gallatin,+38.760184°,–84.862114°
1033,KY,Garrard,+37.630162°,–84.545856°
1034,KY,Grant,+38.649210°,–84.625946°
1035,KY,Graves,+36.723344°,–88.649897°
1036,KY,Grayson,+37.458577°,–86.344011°
1037,KY,Green,+37.269637°,–85.561403°
1038,KY,Greenup,+38.563596°,–82.933833°
1039,KY,Hancock,+37.843389°,–86.792773°
1040,KY,Hardin,+37.695836°,–85.963183°
1041,KY,Harlan,+36.859223°,–83.221497°
1042,KY,Harrison,+38.443489°,–84.332796°
1043,KY,Hart,+37.313856°,–85.881995°
1044,KY,Henderson,+37.792542°,–87.572577°
1045,KY,Henry,+38.451561°,–85.120079°
1046,KY,Hickman,+36.675916°,–88.972020°
1047,KY,Hopkins,+37.311070°,–87.542196°
1048,KY,Jackson,+37.403320°,–84.020686°
1049,KY,Jefferson,+38.189533°,–85.657624°
1050,KY,Jessamine,+37.873291°,–84.583960°
1051,KY,Johnson,+37.849260°,–82.830639°
1052,KY,Kenton,+38.930477°,–84.533492°
1053,KY,Knott,+37.354703°,–82.949138°
1054,KY,Knox,+36.887476°,–83.855630°
1055,KY,Larue,+37.545518°,–85.697209°
1056,KY,Laurel,+37.113268°,–84.119395°
1057,KY,Lawrence,+38.074459°,–82.738305°
1058,KY,Lee,+37.605383°,–83.718497°
1059,KY,Leslie,+37.087846°,–83.388616°
1060,KY,Letcher,+37.118503°,–82.861175°
1061,KY,Lewis,+38.532051°,–83.373303°
1062,KY,Lincoln,+37.457257°,–84.658074°
1063,KY,Livingston,+37.209517°,–88.363426°
1064,KY,Logan,+36.859829°,–86.881436°
1065,KY,Lyon,+37.023976°,–88.083391°
1066,KY,McCracken,+37.053688°,–88.712378°
1067,KY,McCreary,+36.731136°,–84.491052°
1068,KY,McLean,+37.530575°,–87.262931°
1069,KY,Madison,+37.723528°,–84.277008°
1070,KY,Magoffin,+37.698954°,–83.069716°
1071,KY,Marion,+37.552247°,–85.269242°
1072,KY,Marshall,+36.882017°,–88.332752°
1073,KY,Martin,+37.796774°,–82.506623°
1074,KY,Mason,+38.594068°,–83.828052°
1075,KY,Meade,+37.967476°,–86.200863°
1076,KY,Menifee,+37.950715°,–83.597345°
1077,KY,Mercer,+37.812085°,–84.879695°
1078,KY,Metcalfe,+36.990394°,–85.629554°
1079,KY,Monroe,+36.714077°,–85.713508°
1080,KY,Montgomery,+38.038138°,–83.912338°
1081,KY,Morgan,+37.922940°,–83.258944°
1082,KY,Muhlenberg,+37.213816°,–87.134092°
1083,KY,Nelson,+37.803188°,–85.465955°
1084,KY,Nicholas,+38.337132°,–84.025554°
1085,KY,Ohio,+37.477859°,–86.844871°
1086,KY,Oldham,+38.400046°,–85.456059°
1087,KY,Owen,+38.499603°,–84.841509°
1088,KY,Owsley,+37.423452°,–83.691566°
1089,KY,Pendleton,+38.690765°,–84.354041°
1090,KY,Perry,+37.241282°,–83.217772°
1091,KY,Pike,+37.482067°,–82.402869°
1092,KY,Powell,+37.810379°,–83.826985°
1093,KY,Pulaski,+37.108312°,–84.579986°
1094,KY,Robertson,+38.513826°,–84.063757°
1095,KY,Rockcastle,+37.361220°,–84.314419°
1096,KY,Rowan,+38.205894°,–83.425969°
1097,KY,Russell,+36.989127°,–85.058976°
1098,KY,Scott,+38.289882°,–84.579376°
1099,KY,Shelby,+38.239426°,–85.228360°
1100,KY,Simpson,+36.740863°,–86.581464°
1101,KY,Spencer,+38.026976°,–85.321525°
1102,KY,Taylor,+37.365106°,–85.326698°
1103,KY,Todd,+36.840338°,–87.183642°
1104,KY,Trigg,+36.807681°,–87.858652°
1105,KY,Trimble,+38.618193°,–85.355171°
1106,KY,Union,+37.658029°,–87.951650°
1107,KY,Warren,+36.995634°,–86.423579°
1108,KY,Washington,+37.754209°,–85.175416°
1109,KY,Wayne,+36.802011°,–84.830440°
1110,KY,Webster,+37.520021°,–87.685095°
1111,KY,Whitley,+36.758021°,–84.144550°
1112,KY,Wolfe,+37.743774°,–83.495068°
1113,KY,Woodford,+38.042789°,–84.748147°
1114,LA,Acadia,+30.291497°,–92.411037°
1115,LA,Allen,+30.652744°,–92.819605°
1116,LA,Ascension,+30.202946°,–90.910023°
1117,LA,Assumption,+29.899884°,–91.050528°
1118,LA,Avoyelles,+31.085094°,–91.993798°
1119,LA,Beauregard,+30.645018°,–93.340253°
1120,LA,Bienville,+32.344268°,–93.061513°
1121,LA,Bossier,+32.696202°,–93.617977°
1122,LA,Caddo,+32.577195°,–93.882423°
1123,LA,Calcasieu,+30.229559°,–93.358015°
1124,LA,Caldwell,+32.101244°,–92.114180°
1125,LA,Cameron,+29.871989°,–93.165437°
1126,LA,Catahoula,+31.666517°,–91.846703°
1127,LA,Claiborne,+32.827585°,–92.991125°
1128,LA,Concordia,+31.469806°,–91.626314°
1129,LA,De Soto,+32.059248°,–93.740797°
1130,LA,East Baton Rouge,+30.544002°,–91.093174°
1131,LA,East Carroll,+32.730170°,–91.234141°
1132,LA,East Feliciana,+30.839784°,–91.043434°
1133,LA,Evangeline,+30.720693°,–92.404086°
1134,LA,Franklin,+32.138279°,–91.672101°
1135,LA,Grant,+31.597787°,–92.561716°
1136,LA,Iberia,+29.606013°,–91.842706°
1137,LA,Iberville,+30.288394°,–91.363150°
1138,LA,Jackson,+32.304480°,–92.556672°
1139,LA,Jefferson,+29.503300°,–90.036231°
1140,LA,Jefferson Davis,+30.269529°,–92.816221°
1141,LA,Lafayette,+30.206507°,–92.064170°
1142,LA,Lafourche,+29.491993°,–90.394849°
1143,LA,La Salle,+31.680836°,–92.161809°
1144,LA,Lincoln,+32.601148°,–92.662082°
1145,LA,Livingston,+30.440419°,–90.727474°
1146,LA,Madison,+32.365824°,–91.240729°
1147,LA,Morehouse,+32.820008°,–91.800399°
1148,LA,Natchitoches,+31.734982°,–93.086106°
1149,LA,Orleans,+30.068636°,–89.939007°
1150,LA,Ouachita,+32.477495°,–92.154798°
